Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;settore_storico_pe;superficie_somministrazione;tipo_eser_storico_pe
"VLE ZARA N. 73 ; isolato:167; accesso: accesso esterno; (z.d. 9)";VLE ;ZARA;73;1170;9;solo somministrazione;somministrazione;misto;"Pizzerie e simili;BAR CAFFÈ;Pizzeria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Tav.calde,self service,fast f.;Ristorante";58;bar caffè
"VIA LECCO N. 22 ; isolato:103; accesso: accesso esterno; (z.d. 3)";VIA ;LECCO;22;2110;3;solo somministrazione;somministrazione;al banco;"Elettr.Automatici Meccaniche;BAR CAFFÈ;BAR CAFFÈ E SIMILI;Prodotti di gastronomia;Bar gastronomici e simili;Carte";31;bar caffè
"VIA DE AMICIS EDMONDO N. 61 ;via de amicis edmondo 061; isolato:460; accesso: accesso esterno; (z.d. 1)";VIA ;DE AMICIS EDMONDO;61;574;1;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;BAR CAFFÈ E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";59;bar caffè
"VIA ROSSI PELLEGRINO N. 81 ; isolato:178; accesso: accesso esterno; (z.d. 9)";VIA ;ROSSI PELLEGRINO;81;1510;9;;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Prodotti di gastronomia;BAR CAFFÈ;Tavola fredda";36;bar caffè
"VIA CABELLA BARTOLOMEO N. 51 ; isolato:151; accesso: accesso esterno; (z.d. 7)";VIA ;CABELLA BARTOLOMEO;51;6778;7;somministrazione/minuto;somministrazione;al banco;"Tavola fredda;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";40;bar caffè
"VIA VALLAZZE N. 20 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;VALLAZZE;20;2250;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;BAR CAFFÈ;Pizzeria;Genere Merceol.Autorizz.Sanit.;Trattoria";109;pizzeria
"VIA TRIVULZIO ANTONIO TOLOMEO N. 2 con ingr. da via parmigianino; isolato:208; accesso: accesso esterno; (z.d. 7)";VIA ;TRIVULZIO ANTONIO TOLOMEO;2;6277;7;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÈ";45;ristorante
"VIA LORENTEGGIO N. 5 ; isolato:152; accesso: accesso esterno; (z.d. 6)";VIA ;LORENTEGGIO;5;5132;6;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda";32;bar caffè
"LGO GALLARATI SCOTTI TOMMASO N. 1 ;lgo gallarati scotti tommaso 001; isolato:333; accesso: accesso esterno; (z.d. 1)";LGO ;GALLARATI SCOTTI TOMMASO;1;656;1;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.";87;bar caffè
"VIA CALZECCHI TEMISTOCLE N. 2 ; isolato:165; accesso: accesso esterno; (z.d. 3)";VIA ;CALZECCHI TEMISTOCLE;2;3241;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Tavola fredda;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";31;bar caffè
"CSO VITTORIO EMANUELE II N. 22 ;cso vittorio emanuele ii 022; isolato:360; accesso: accesso esterno; (z.d. 1)";CSO ;VITTORIO EMANUELE II;22;214;1;solo somministrazione;somministrazione;al banco;"Bar pasticc.gelat.crem.creper.;Cibi cotti;BAR CAFFÈ;Ristorante, trattoria, osteria";120;bar caffè
"CSO MONFORTE N. 39 con ingresso da via vivaio; isolato:026; accesso: accesso esterno; (z.d. 1)";CSO ;MONFORTE;39;348;1;somministrazione/minuto;minuto;al banco;"Bar gastronomici e simili;Tavola calda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ";76;bar caffè
"VIA MONFALCONE N. 32 ; isolato:045; accesso: accesso esterno; (z.d. 3)";VIA ;MONFALCONE;32;2538;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Seconda bottiglia;Ristorante;BAR CAFFÈ E SIMILI";117;bar caffè
"VIA CARDINAL FEDERICO N. 7 ;via cardinal federico 007; isolato:441; accesso: accesso esterno; (z.d. 1)";VIA ;CARDINAL FEDERICO;7;577;1;somministrazione/minuto;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÈ E SIMILI";60;bar caffè
"VIA NOVARA N. 62 ; isolato:129; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;62;6624;7;;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;BAR CAFFÈ E SIMILI;Gelateria";194;bar caffè
"VIA PASTEUR LUIGI N. 25 ; isolato:352; accesso: accesso esterno; (z.d. 2)";VIA ;PASTEUR LUIGI;25;2283;2;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÈ";99;bar caffè
"VIA CARDUCCI GIOSUE' N. 11 ;via carducci giosue' 011; isolato:290; accesso: accesso esterno; (z.d. 1)";VIA ;CARDUCCI GIOSUE';11;602;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;BAR CAFFÈ E SIMILI";35;bar caffè
"VIA FONTANA N. 1 ; isolato:033; accesso: accesso esterno; (z.d. 1)";VIA ;FONTANA;1;3058;1;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Carte;Tavola fredda;BAR CAFFÈ";40;bar caffè
"CSO GARIBALDI GIUSEPPE N. 41 ; isolato:170; accesso: accesso esterno; (z.d. 1)";CSO ;GARIBALDI GIUSEPPE;41;1010;1;;somministrazione;al tavolo;"Pizzerie e simili;Ristorante, trattoria, osteria";82;trattoria
"VIA FREGUGLIA CARLO N. 4 ; isolato:200; accesso: accesso esterno; (z.d. 1)";VIA ;FREGUGLIA CARLO;4;3014;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Ristorante, trattoria, osteria;Ristorante;Tavola calda;Tav.calde,self service,fast f.;BAR CAFFÈ E SIMILI";194;bar caffè
"VIA CURTATONE N. 5 ; isolato:037; accesso: accesso esterno; (z.d. 1)";VIA ;CURTATONE;5;4034;1;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante";103;ristorante
"VIA DELL' ORSO N. 20 ;via dell' orso 020; isolato:307; accesso: accesso esterno; (z.d. 1)";VIA ;DELL' ORSO;20;123;1;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Tav.calde,self service,fast f.;Pizzerie e simili;Wine,birr.,pub enot.,caff.,the;Pizzeria;Ristorante, trattoria, osteria;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";129;bar caffè
"VIA SPAVENTA SILVIO N. 1 ; isolato:001; accesso: accesso esterno; (z.d. 5)";VIA ;SPAVENTA SILVIO;1;5255;5;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";32;bar caffè
"VIA LOCATELLI ANTONIO N. 1 ; isolato:312; accesso: accesso esterno; (z.d. 2)";VIA ;LOCATELLI ANTONIO;1;1191;2;;somministrazione;al banco;"BAR CAFFÈ;Wine,birr.,pub enot.,caff.,the;Tavola fredda;Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Seconda bottiglia";195;bar caffè
"VIA RONCAGLIA N. 3 ; isolato:291; accesso: accesso esterno; (z.d. 6)";VIA ;RONCAGLIA;3;6122;6;;somministrazione;misto;"Tav.calde,self service,fast f.;BAR CAFFÈ E SIMILI";265;bar caffè
"PZA WAGNER RICCARDO N. 3 ; isolato:215; accesso: accesso esterno; (z.d. 7)";PZA ;WAGNER RICCARDO;3;6247;7;;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Prodotti di gastronomia";39;bar caffè
"VIA PORRO LAMBERTENGHI LUIGI N. 25 ; isolato:263; accesso: accesso esterno; (z.d. 9)";VIA ;PORRO LAMBERTENGHI LUIGI;25;1142;9;solo somministrazione;somministrazione;misto;"Tav.calde,self service,fast f.;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Tavola fredda;BAR CAFFÈ";75;bar caffè
"VIA SOLFERINO N. 18 ; isolato:247; accesso: accesso esterno; (z.d. 1)";VIA ;SOLFERINO;18;1028;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Cibi cotti preconfezionati";30;bar caffè
"VIA DEGLI UMILIATI N. 9 ; isolato:128; accesso: accesso esterno; (z.d. 4)";VIA ;DEGLI UMILIATI;9;3347;4;somministrazione/minuto;minuto;al banco;"Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÈ";17;spaccio bevande analcoliche
"VIA FACCHINETTI CIPRIANO N. 2 ; isolato:039; accesso: accesso esterno; (z.d. 4)";VIA ;FACCHINETTI CIPRIANO;2;3365;4;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";19;bar caffè
"VIA DE SANCTIS FRANCESCO N. 1 ; isolato:021; accesso: accesso esterno; (z.d. 5)";VIA ;DE SANCTIS FRANCESCO;1;5322;5;somministrazione/minuto;minuto;al banco;Spaccio bevande analcoliche;24;spaccio bevande analcoliche
"VIA BONGHI RUGGERO N. 12 ; isolato:009; accesso: accesso esterno; (z.d. 5)";VIA ;BONGHI RUGGERO;12;5247;5;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÈ";89;ristorante
"VIA BIZZONI ACHILLE N. 7 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VIA ;BIZZONI ACHILLE;7;1359;2;somministrazione/minuto;somministrazione;al banco;"Cibi cotti;BAR CAFFÈ";34;bar caffè
"VIA BERGAMO N. 2 ; isolato:110; accesso: accesso esterno; (z.d. 4)";VIA ;BERGAMO;2;3189;4;solo somministrazione;somministrazione;al banco;"Tavola fredda;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";33;bar caffè
"CSO GARIBALDI GIUSEPPE N. 34 ; isolato:172; accesso: accesso esterno; (z.d. 1)";CSO ;GARIBALDI GIUSEPPE;34;1010;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;BAR CAFFÈ";50;bar caffè
"VIA IMBONATI CARLO N. 67 ; isolato:059; accesso: accesso esterno; (z.d. 9)";VIA ;IMBONATI CARLO;67;1311;9;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ;BAR CAFFÈ E SIMILI";43;bar caffè
"VIA LIVIGNO num.006/a /a; isolato:086; accesso: accesso esterno; (z.d. 9)";;;;;;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;BAR CAFFÈ;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Tavola fredda";42;bar caffè
"VIA MARCONA N. 90 ; isolato:251; accesso: accesso esterno; (z.d. 4)";VIA ;MARCONA;90;3080;4;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";16;bar caffè
"VLE MONZA N. 68 ; isolato:323; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;68;2274;2;solo somministrazione;somministrazione;al banco;;32;bar caffè
"VLE MONZA N. 114 ; isolato:258; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;114;2274;2;somministrazione/minuto;minuto;al banco;"Spaccio bevande analcoliche;BAR CAFFÈ E SIMILI";43;spaccio bevande analcoliche
"VLE SARCA N. 73 ; isolato:154; accesso: accesso esterno; (z.d. 9)";VLE ;SARCA;73;1427;9;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ E SIMILI";40;bar caffè
"VIA SAVONA N. 59 ; isolato:031; accesso: accesso esterno; (z.d. 6)";VIA ;SAVONA;59;5122;6;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";31;spaccio bevande analcoliche
"VIA PALMIERI NICOLA N. 56 ; isolato:037; accesso: accesso esterno; (z.d. 5)";VIA ;PALMIERI NICOLA;56;5323;5;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;Bar gastronomici e simili";40;bar caffè
"VIA POLIZIANO N. 7 ; isolato:049; accesso: accesso esterno; (z.d. 8)";VIA ;POLIZIANO;7;7196;8;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Tavola calda";57;bar caffè
"VIA BENELLI SEM N. 11 ; isolato:064; accesso: accesso esterno; (z.d. 8)";VIA ;BENELLI SEM;11;7497;8;somministrazione/minuto;minuto;al banco;Spaccio bevande analcoliche;31;spaccio bevande analcoliche
"CSO VENTIDUE MARZO N. 38 ; isolato:260; accesso: accesso esterno; (z.d. 4)";CSO ;VENTIDUE MARZO;38;3074;4;somministrazione/minuto;minuto;al banco;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;BAR CAFFÈ;Tavola fredda;Pizzeria;Bar gastronomici e simili";23;tavola fredda
"VIA QUARENGHI GIACOMO N. 34 ; isolato:300; accesso: accesso esterno; (z.d. 8)";VIA ;QUARENGHI GIACOMO;34;7478;8;somministrazione/minuto;minuto;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ";38;bar caffè
"VIA SANZIO RAFFAELLO N. 4 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;4;6283;7;somministrazione/minuto;somministrazione;misto;"Carte;Cibi cotti;BAR CAFFÈ";55;bar caffè
"VLE DELLE RIMEMBRANZE DI GRECO N. 39 ; isolato:132; accesso: accesso esterno; (z.d. 2)";VLE ;DELLE RIMEMBRANZE DI GRECO;39;1412;2;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÈ;Bar gastronomici e simili;Giochi Legge 388/2000;BAR CAFFÈ E SIMILI;Prodotti di gastronomia";32;bar caffè
"PLE STAZIONE DI PORTA GENOVA N. 3 ; isolato:052; accesso: accesso esterno; (z.d. 6)";PLE ;STAZIONE DI PORTA GENOVA;3;5120;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Cibi cotti";28;osteria
"VIA TORTONA N. 26 ; isolato:034; accesso: accesso esterno; (z.d. 6)";VIA ;TORTONA;26;5124;6;somministrazione/minuto;minuto;al banco;"BAR CAFFÈ;BAR CAFFÈ E SIMILI;Tavola fredda;Bar gastronomici e simili";40;bar caffè
"VLE UMBRIA N. 80 ; isolato:078; accesso: accesso esterno; (z.d. 4)";VLE ;UMBRIA;80;3145;4;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia";29;bar caffè
"VLE UMBRIA N. 50 ; isolato:121; accesso: accesso esterno; (z.d. 4)";VLE ;UMBRIA;50;3145;4;somministrazione/minuto;minuto;al banco;"Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ";45;bar caffè
"VLE TORELLI LUIGI N. 2 ; isolato:097; accesso: accesso esterno; (z.d. 9)";VLE ;TORELLI LUIGI;2;1232;9;;somministrazione;misto;"Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";68;bar caffè
"VIA F.LLI BRONZETTI N. 9 ; isolato:021; accesso: accesso esterno; (z.d. 4)";VIA ;F.LLI BRONZETTI;9;3089;4;;somministrazione;al banco;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola calda;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ E SIMILI;Giochi Legge 388/2000";46;bar caffè
"VIA MELZO N. 28 ; isolato:142; accesso: accesso esterno; (z.d. 3)";VIA ;MELZO;28;2184;3;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;Ristorante, trattoria, osteria;Cibi cotti;BAR CAFFÈ";49;bar caffè
"VIA MILAZZO N. 6 ; isolato:006; accesso: accesso esterno; (z.d. 1)";VIA ;MILAZZO;6;1034;1;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";50;ristorante
"VIA GUASCONA N. 60 ; isolato:236; accesso: accesso esterno; (z.d. 7)";VIA ;GUASCONA;60;6726;7;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";52;bar caffè
"VIA DEI FABBRI N. 26 ;via dei fabbri 026; isolato:220; accesso: accesso esterno; (z.d. 1)";VIA ;DEI FABBRI;26;593;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Bar pasticc.gelat.crem.creper.;Gelateria";104;gelateria
"LGO DONEGANI GUIDO N. 2 angolo via della moscova, 3; isolato:016; accesso: accesso interno; (z.d. 1)";LGO ;DONEGANI GUIDO;2;1009;1;solo somministrazione;somministrazione;self service;"Genere Merceol.Autorizz.Sanit.;Ristorante;Tav.calde,self service,fast f.";646;ristorante
"VIA CANDIANI GIUSEPPE N. 131 ; isolato:028; accesso: accesso esterno; (z.d. 9)";VIA ;CANDIANI GIUSEPPE;131;1242;9;solo somministrazione;somministrazione;misto;"Ristorante;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÈ;Giochi Legge 388/2000";108;trattoria
"VIA SAN CLEMENTE N. 1 ;via san clemente 001; isolato:358; accesso: accesso esterno; (z.d. 1)";VIA ;SAN CLEMENTE;1;319;1;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Tavola fredda;BAR CAFFÈ;BAR CAFFÈ E SIMILI";40;bar caffè
"VIA PADOVA N. 213 ; isolato:228; accesso: accesso esterno; (z.d. 2)";VIA ;PADOVA;213;2275;2;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";25;genere merceol.autorizz.sanit.
"VIA MARGHERA N. 33 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;33;6280;7;somministrazione/minuto;minuto;al banco;"Spaccio bevande analcoliche;Bar pasticc.gelat.crem.creper.;Gelateria";24;gelateria
"VIA POLIZIANO N. 10 ; isolato:051; accesso: accesso esterno; (z.d. 8)";VIA ;POLIZIANO;10;7196;8;solo somministrazione;somministrazione;misto;Ristorante, trattoria, osteria;91;trattoria
"VIA ORTI N. 4 ; isolato:038; accesso: accesso esterno; (z.d. 1)";VIA ;ORTI;4;4031;1;somministrazione/minuto;minuto;misto;"Pizzerie e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola calda;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI;Pizzeria";175;bar caffè
"VIA BERTIERI RAFFAELLO N. 2 ; isolato:081; accesso: accesso esterno; (z.d. 6)";VIA ;BERTIERI RAFFAELLO;2;6824;6;;somministrazione;al banco;"Tavola calda;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;BAR CAFFÈ E SIMILI";96;bar caffè
"VIA STRAMBIO GAETANO N. 6 ; isolato:149; accesso: accesso esterno; (z.d. 3)";VIA ;STRAMBIO GAETANO;6;3168;3;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;Tavola calda";94;pizzeria
"VIA IMBONATI CARLO N. 51 ; isolato:069; accesso: accesso esterno; (z.d. 9)";VIA ;IMBONATI CARLO;51;1311;9;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÈ;Tavola calda;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.";62;bar caffè
"CSO SAN GOTTARDO N. 18 ; isolato:094; accesso: accesso esterno; (z.d. 5)";CSO ;SAN GOTTARDO;18;5203;5;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Prodotti di gastronomia;BAR CAFFÈ;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";39;bar caffè
"VLE SARCA N. 73 ; isolato:154; accesso: accesso esterno; (z.d. 9)";VLE ;SARCA;73;1427;9;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Trattoria;Pizzeria;BAR CAFFÈ;Ristorante, trattoria, osteria;Pizzerie e simili";98;trattoria
"VIA MORA GIAN GIACOMO N. 9 ;via mora gian giacomo 009; isolato:220; accesso: accesso esterno; (z.d. 1)";VIA ;MORA GIAN GIACOMO;9;594;1;solo somministrazione;somministrazione;misto;"Giochi Legge 388/2000;Trattoria;Ristorante, trattoria, osteria;BAR CAFFÈ";60;trattoria
"VIA CALDERA N. 21 c/o grand hotel brun; isolato:029; accesso: accesso esterno; (z.d. 7)";VIA ;CALDERA;21;6302;7;solo somministrazione;somministrazione;misto;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";688;ristorante
"VIA PORRO LAMBERTENGHI LUIGI N. 1 ; isolato:256; accesso: accesso esterno; (z.d. 9)";VIA ;PORRO LAMBERTENGHI LUIGI;1;1142;9;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Wine,birr.,pub enot.,caff.,the;Ristorante";45;ristorante
"VLE JENNER EDOARDO N. 10 ; isolato:088; accesso: accesso esterno; (z.d. 9)";VLE ;JENNER EDOARDO;10;1230;9;;somministrazione;al tavolo;"Pizzerie e simili;Trattoria;BAR CAFFÈ E SIMILI;Pizzeria;Ristorante, trattoria, osteria";75;pizzeria
"VLE FAENZA N. 25 ; isolato:074; accesso: accesso esterno; (z.d. 6)";VLE ;FAENZA;25;5350;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";31;bar caffè
"VIA BUONARROTI MICHELANGELO N. 6 ; isolato:215; accesso: accesso esterno; (z.d. 7)";VIA ;BUONARROTI MICHELANGELO;6;6253;7;solo somministrazione;somministrazione;misto;"Tavola calda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";176;tavola calda
"VIA ARCONATI COSTANZA N. 20 ; isolato:077; accesso: accesso esterno; (z.d. 4)";VIA ;ARCONATI COSTANZA;20;3211;4;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante, trattoria, osteria;Prodotti di gastronomia";95;ristorante, trattoria, osteria
"PTA PATTARI N. 2 ;pta pattari 002; isolato:387; accesso: accesso esterno; (z.d. 1)";PTA ;PATTARI;2;299;1;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante, trattoria, osteria;Pizzerie e simili";174;ristorante
"CSO BUENOS AIRES N. 79 ; isolato:007; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;79;2129;3;solo somministrazione;somministrazione;al banco;Tav.calde,self service,fast f.;255;ristorante
"VIA GOVONE GIUSEPPE N. 32 ; isolato:012; accesso: accesso esterno; (z.d. 8)";VIA ;GOVONE GIUSEPPE;32;7222;8;;somministrazione;al tavolo;"Pizzeria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili";54;pizzeria
"VIA RUBENS PIETRO N. 22 ; isolato:001; accesso: accesso esterno; (z.d. 7)";VIA ;RUBENS PIETRO;22;6597;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÈ E SIMILI";41;bar caffè
"VIA DEL FUSARO N. 2 ; isolato:262; accesso: accesso esterno; (z.d. 7)";VIA ;DEL FUSARO;2;6258;7;somministrazione/minuto;minuto;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";46;spaccio bevande analcoliche
"VIA ROTTA PAOLO N. 10 ; isolato:068; accesso: accesso esterno; (z.d. 9)";VIA ;ROTTA PAOLO;10;1587;9;somministrazione/minuto;minuto;al banco;"Pizzerie e simili;Spaccio bevande analcoliche;BAR CAFFÈ E SIMILI";26;spaccio bevande analcoliche
"VIA MORGAGNI GIOVANNI BATTISTA N. 2 ; isolato:086; accesso: accesso esterno; (z.d. 3)";VIA ;MORGAGNI GIOVANNI BATTISTA;2;2158;3;somministrazione/minuto;somministrazione;al banco;"Spaccio bevande analcoliche;Wine,birr.,pub enot.,caff.,the";18;spaccio bevande analcoliche
"VIA SPAVENTA SILVIO N. 1 ; isolato:001; accesso: accesso esterno; (z.d. 5)";VIA ;SPAVENTA SILVIO;1;5255;5;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Ristorante, trattoria, osteria;Trattoria;BAR CAFFÈ E SIMILI;Giochi Legge 388/2000";46;trattoria
"VLE ABRUZZI N. 23 ; isolato:051; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;23;2177;3;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";57;bar caffè
"PZA PREALPI N. 7 ; isolato:300; accesso: accesso esterno; (z.d. 8)";PZA ;PREALPI;7;7300;8;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";46;bar caffè
"PLE ISTRIA N. 1 ; isolato:028; accesso: accesso esterno; (z.d. 9)";PLE ;ISTRIA;1;1347;9;;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ";31;bar caffè
"VIA VERDI GIUSEPPE N. 13 ;via verdi giuseppe 013; isolato:311; accesso: accesso esterno; (z.d. 1)";VIA ;VERDI GIUSEPPE;13;118;1;;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.";70;bar caffè
"VIA VOLTA ALESSANDRO N. 14 ; isolato:003; accesso: accesso esterno; (z.d. 1)";VIA ;VOLTA ALESSANDRO;14;1018;1;somministrazione/minuto;minuto;al banco;Wine,birr.,pub enot.,caff.,the;39;bar caffè
