Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;fuori_piano;insegna;settore_storico_pe;superficie_somministrazione
"VIA MANDURIA N. 90 c/o parrocchia s. pietro; isolato:114; accesso: area ap.rec.; (z.d. 5)";VIA ;MANDURIA;90;5400;5;somministrazione/minuto;somministrazione;misto;circoli parrocchiali;bar interno parrocchia;"BAR CAFFÈ;Tavola fredda";170
"VIA SCHIAPARELLI GIOVANNI N. 1 c/o circolo calabrese di milan; isolato:202; accesso: accesso interno; (z.d. 2)";VIA ;SCHIAPARELLI GIOVANNI;1;1211;2;somministrazione/minuto;minuto;al banco;club privato;;Ristorante;98
"VIA MARCO D'AGRATE num.035/a circ. camerlingo accademia bil; isolato:114; accesso: accesso interno; (z.d. 5)";VIA ;MARCO D'AGRATE;;4276;5;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;Tavola fredda;300
"VLE CORSICA N. 68 circolo parrocchia beata vergi; isolato:270; accesso: accesso interno; (z.d. 4)";VLE ;CORSICA;68;3262;4;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"Prodotti di gastronomia;BAR CAFFÈ";217
"VLE CATERINA DA FORLI' N. 19 c/o piccolo cottolengo don ori; isolato:030; (z.d. 6)";VLE ;CATERINA DA FORLI';19;6611;6;;;;art.3 comma 6 lett.g;;Mensa;91
"VIA FLEMING ALESSANDRO N. 13 campo sportivo circ. triestina; isolato:065; accesso: accesso interno; (z.d. 7)";VIA ;FLEMING ALESSANDRO;13;6499;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;12
"VIA URUGUAY num.026/3 c/o i.p.s.s.a.r. carlo porta; isolato:301; accesso: accesso interno; (z.d. 8)";;;;;;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;"BAR CAFFÈ;Tavola fredda";40
"VIA NATTA GIULIO N. 11 c/o ist.prof.servizi alberghie; isolato:091; accesso: accesso esterno; (z.d. 8)";VIA ;NATTA GIULIO;11;6860;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;Mensa;91
"VIA GALLARATE N. 199 c/o peugeot talbot; isolato:202; (z.d. 8)";VIA ;GALLARATE;199;7420;8;;;;art.3 comma 6 lett.g;;Mensa;445
"VIA PACE N. 21 c/o istit.stomatologico italia; isolato:036; accesso: accesso interno; (z.d. 1)";VIA ;PACE;21;3150;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;int. ist. stomatologico i;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";34
"VIA FORNARI PASQUALE N. 19 c/o pio albergo trivulzio; isolato:014; accesso: accesso interno; (z.d. 7)";VIA ;FORNARI PASQUALE;19;6592;7;;somministrazione;al banco;art.3 comma 6 lett.g;in.ist.pio albergo trivul;"Bar pasticc.gelat.crem.creper.;BAR CAFFÈ E SIMILI;Tavola fredda;BAR CAFFÈ";60
"VIA PARAVIA PIER ALESSANDRO N. 31 c/o i.t.i.s. galilei; isolato:237; accesso: accesso interno; (z.d. 7)";VIA ;PARAVIA PIER ALESSANDRO;31;6571;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;int.istituto g.galilei;"BAR CAFFÈ;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Tavola fredda";45
"VIA VITRUVIO N. 41 c/o istituto gonzaga - istituto privato della ""provincia di torino della congregazione dei fratelli delle scuole cristiane"" (z.d. 2)";VIA ;VITRUVIO;41;2134;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;mensa int.ist.gonzaga;Mensa;562
VIA MASSARA DE CAPITANI N. 3 (z.d. 9);VIA ;MASSARA DE CAPITANI;3;1261;9;;;;art.3 comma 6 lett.a;;;
"VLE SARCA N. 223 c/o alfa wassermann s.p.a.; isolato:045; accesso: accesso interno; (z.d. 9)";VLE ;SARCA;223;1427;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;186
"PLE CADORNA LUIGI num.000 (int. galleria stazione nord);ingresso via 9501 num.000; isolato:164; accesso: accesso interno; (z.d. 1)";PLE ;CADORNA LUIGI;;601;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;spizzico;"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzeria;BAR CAFFÈ;Tav.calde,self service,fast f.;Tavola fredda;Bar gastronomici e simili";116
"codvia 9218 mm2 romolo; isolato:997; accesso: accesso interno; (z.d. 6)";;;;;;;somministrazione;al banco;art.3 comma 6 lett.c;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda";27
"VIA RUBATTINO RAFFAELE N. 54 c/o cesi g.motta s.p.a.; isolato:142; accesso: accesso esterno; (z.d. 3)";VIA ;RUBATTINO RAFFAELE;54;2686;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;520
"VLE RUBICONE N. 29 (presso area di servizio esso); isolato:008; accesso: accesso esterno; (z.d. 9)";VLE ;RUBICONE;29;1568;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;mc donald s (esso);"Bar gastronomici e simili;Tav.calde,self service,fast f.;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola calda;Tavola fredda";195
"VIA CEZANNE PAOLO N. 5 circolo cult. sneh sadan; isolato:066; accesso: accesso interno; (z.d. 6)";VIA ;CEZANNE PAOLO;5;5310;6;solo somministrazione;somministrazione;al tavolo;club privato;;BAR CAFFÈ;90
"VIA RIPAMONTI GIUSEPPE N. 286 associazione la traccia; isolato:179; accesso: accesso interno; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;286;4066;5;solo somministrazione;somministrazione;al banco;club privato;;"Ristorante;BAR CAFFÈ";465
"codvia 9133 mm1 bisceg; isolato:995; accesso: accesso interno; (z.d. 7)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;gran bar caffetteria;"Bar gastronomici e simili;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";67
"VIA BENADIR N. 14 circolo arci company club; isolato:286; accesso: accesso interno; (z.d. 2)";VIA ;BENADIR;14;2380;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;133
"VIA PITTERI RICCARDO N. 54 c/o parrocchia ss nome di mari; isolato:140; accesso: accesso interno; (z.d. 3)";VIA ;PITTERI RICCARDO;54;2674;3;solo somministrazione;somministrazione;misto;circoli parrocchiali;;"BAR CAFFÈ;Tavola fredda";53
"VIA CAVIGLIA ENRICO N. 11 c/o n.r.g. italia spa; isolato:032; accesso: accesso interno; (z.d. 4)";VIA ;CAVIGLIA ENRICO;11;4198;4;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;c/o nrg italia spa;Mensa;130
"VIA LESSONA MICHELE N. 70 c/o parrocchia resurrezione; isolato:033; accesso: accesso interno; (z.d. 8)";VIA ;LESSONA MICHELE;70;7490;8;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"BAR CAFFÈ;Giochi Legge 388/2000";140
VIA ANDO' FLAVIO N. 2 (z.d. 8);VIA ;ANDO' FLAVIO;2;7283;8;;;;fuori piano;;Sale da gioco;
"codvia 9406 ff certosa; isolato:118; (z.d. 8)";;;;;;;;;art.3 comma 6 lett.c;;"Elettr.Automatici Meccaniche;Tavola fredda;BAR CAFFÈ;Cibi cotti preconfezionati";70
VIA VIVIANI VINCENZO N. 8 (z.d. 9);VIA ;VIVIANI VINCENZO;8;1185;9;;;;art.3 comma 6 lett.e;;Mensa;
"VLE RUBICONE N. 31 ; accesso: accesso esterno; (z.d. 9)";VLE ;RUBICONE;31;1568;9;;somministrazione;al banco;art.3 comma 6 lett.c;stazione di serv. esso;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFFÈ";25
"VIA ROGOREDO N. 41 circ. cult.arcinova. f.mondini; isolato:086; accesso: accesso esterno; (z.d. 4)";VIA ;ROGOREDO;41;4373;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;circ. cult. arci  mondini;"BAR CAFFÈ;Tavola fredda";87
"VIA NERVESA num.021 c/o azienda a.manzoni; (z.d. 4)";;;;;;;;;art.3 comma 6 lett.e;;"Mensa;Tav.calde,self service,fast f.";273
"VIA CILEA FRANCESCO N. 119 (int. motorizzazione civile); isolato:009; accesso: accesso interno; (z.d. 8)";VIA ;CILEA FRANCESCO;119;7526;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.f;bar cral m.c.t.c.;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";58
"VIA DEI MISSAGLIA N. 117 c/o istituto don calabria; isolato:102; accesso: accesso interno; (z.d. 5)";VIA ;DEI MISSAGLIA;117;5340;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;centro educativo/sportivo;"BAR CAFFÈ;Mensa";143
"VIA CARLO BO N. 1 c/o universit? iulm;ingresso via 5289 num.003; accesso: accesso interno; (z.d. 6)";VIA ;CARLO BO;1;5485;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;c/o i.u.lm.;"BAR CAFFÈ;Mensa;Genere Merceol.Autorizz.Sanit.";221
"VIA PUCCI MARCELLO N. 7 c/o croce rossa; isolato:095; accesso: accesso interno; (z.d. 8)";VIA ;PUCCI MARCELLO;7;7147;8;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;113
"VIA FALCK ENRICO N. 4 centro sportivo s. romano; isolato:014; accesso: accesso interno; (z.d. 8)";VIA ;FALCK ENRICO;4;7438;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;centro sport. san romano;"BAR CAFFÈ;Tavola fredda";70
"VLE CATERINA DA FORLI' N. 19 c/o piccolo cottolengo don ori; isolato:030; accesso: accesso interno; (z.d. 6)";VLE ;CATERINA DA FORLI';19;6611;6;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;;Genere Merceol.Autorizz.Sanit.;137
"VLE BRENTA N. 32 c/o ras assicurazioni; isolato:050; (z.d. 4)";VLE ;BRENTA;32;4151;4;;;;art.3 comma 6 lett.g;;Mensa;298
"VIA SCARLATTI DOMENICO N. 32 ; isolato:030; accesso: accesso esterno; (z.d. 2)";VIA ;SCARLATTI DOMENICO;32;2136;2;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.d;night club gatto verde;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Sale da ballo, locali notturni";180
VIA SPAVENTA SILVIO N. 1 (z.d. 5);VIA ;SPAVENTA SILVIO;1;5255;5;;;;fuori piano;;Prodotti di gastronomia;
"VIA DURANDO GIOVANNI N. 38 c/o mensa interaziendale; isolato:014; accesso: accesso esterno; (z.d. 9)";VIA ;DURANDO GIOVANNI;38;1466;9;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Mensa;Tav.calde,self service,fast f.";225
"VIA OLIVIERI ALESSIO N. 15 societa' sportiva baggio secon; isolato:097; accesso: area ap.rec.; (z.d. 7)";VIA ;OLIVIERI ALESSIO;15;6703;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";34
"VIA APELLE N. 38 mensa interaziendale; isolato:113; accesso: accesso interno; (z.d. 2)";VIA ;APELLE;38;2454;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;mensa;Mensa;114
"VLE CASSALA N. 16 c/o schlumberger industries s.; isolato:153; (z.d. 6)";VLE ;CASSALA;16;5275;6;;;;art.3 comma 6 lett.e;;Mensa;189
"VIA GIOVANNI DA UDINE N. 28 ; isolato:221; accesso: accesso esterno; (z.d. 8)";VIA ;GIOVANNI DA UDINE;28;7408;8;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;madison dance music hall;"BAR CAFFÈ;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Discoteche,sale ballo notturni;Seconda bottiglia";1380
"VIA VESPRI SICILIANI N. 29 pomellato spa; isolato:150; accesso: accesso interno; (z.d. 6)";VIA ;VESPRI SICILIANI;29;5137;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;171
"VLE MONZA N. 257 database progetti spa; isolato:097; accesso: accesso interno; (z.d. 2)";VLE ;MONZA;257;2274;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";36
"VIA PRINETTI LUIGI N. 29 c/o casa di cura san raffaele; isolato:260; (z.d. 2)";VIA ;PRINETTI LUIGI;29;2329;2;;;;art.3 comma 6 lett.g;casadicuras.raffaeleturro;"Bar gastronomici e simili;BAR CAFFÈ;Tav.calde,self service,fast f.;Mensa";431
"VIA DELLE FORZE ARMATE num.310/5 c/o peroni pompe s.p.a.; isolato:158; accesso: accesso interno; (z.d. 7)";;;;;;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;c/o peroni pompe spa.;Mensa;107
"VIA RIPAMONTI GIUSEPPE N. 435 c/o istituto europeo di oncolo; isolato:205; accesso: accesso esterno; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;435;4066;5;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;int. ist. oncologia;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Mensa;Tav.calde,self service,fast f.";135
"VIA DELLE ANDE N. 11 c/o casa di riposo san giusepp; isolato:062; accesso: accesso interno; (z.d. 8)";VIA ;DELLE ANDE;11;7496;8;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.g;casa riposo s.giuseppe;Mensa;124
"VIA VARE' GIOVANNI BATTISTA N. 15 ; isolato:027; accesso: area ap.rec.; (z.d. 9)";VIA ;VARE' GIOVANNI BATTISTA;15;1245;9;solo somministrazione;somministrazione;al banco;circoli parrocchiali;parrocchia s. maria buon;"BAR CAFFÈ;Tavola fredda";80
"VIA DEZZA GIUSEPPE N. 48 c/o casa di cura del politecni; isolato:299; (z.d. 7)";VIA ;DEZZA GIUSEPPE;48;6108;7;;;;art.3 comma 6 lett.g;;Mensa;200
"VIA BISTOLFI LEONARDO N. 15 c/o i.t.t. pier paolo pasolini; isolato:144; (z.d. 3)";VIA ;BISTOLFI LEONARDO;15;2682;3;;;;art.3 comma 6 lett.g;i.t.s.s. p. p. pasolini;"BAR CAFFÈ;Mensa";228
"VIA GULLI TOMMASO N. 62 circolo stella; isolato:190; accesso: accesso interno; (z.d. 7)";VIA ;GULLI TOMMASO;62;6634;7;solo somministrazione;somministrazione;al banco;club privato;;BAR CAFFÈ;50
"VIA CELORIA GIOVANNI N. 10 c/o universit? degli studi; isolato:121; (z.d. 3)";VIA ;CELORIA GIOVANNI;10;2209;3;;;;art.3 comma 6 lett.g;;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Tavola fredda;BAR CAFFÈ";105
"VIA CELORIA GIOVANNI N. 16 c/o facolt? scienze fisiche; isolato:122; accesso: accesso interno; (z.d. 3)";VIA ;CELORIA GIOVANNI;16;2209;3;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;int.politecnico-fisica;"BAR CAFFÈ;Tavola calda;Genere Merceol.Autorizz.Sanit.";160
"VIA BISCEGLIE N. 104 c/o pierrel spa; isolato:086; accesso: accesso interno; (z.d. 6)";VIA ;BISCEGLIE;104;6707;6;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.e;pierrel spa;Mensa;573
"VIA PIETRASANTA N. 14 ; isolato:002; (z.d. 5)";VIA ;PIETRASANTA;14;4227;5;;;;art.3 comma 6 lett.e;;"BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";87
"VIA LORENTEGGIO num.280/4 c/o pharmacia; isolato:087; accesso: accesso esterno; (z.d. 6)";;;;;;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;mensa az. dip. pharmacia;Mensa;814
"VIA CALABRIA N. 5 mister sister ass. culturale; isolato:096; accesso: accesso interno; (z.d. 9)";VIA ;CALABRIA;5;1233;9;solo somministrazione;somministrazione;al banco;club privato;;Prodotti di gastronomia;175
"VIA NAVA FRANCESCO N. 31 c/o casa di cura s. pio x; isolato:164; accesso: accesso esterno; (z.d. 9)";VIA ;NAVA FRANCESCO;31;1319;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Tavola fredda";60
"VIA SOLFERINO N. 33 ass. amicizia italo somala; isolato:006; accesso: accesso interno; (z.d. 1)";VIA ;SOLFERINO;33;1028;1;solo somministrazione;somministrazione;misto;club privato;;"BAR CAFFÈ;Tavola calda;Tavola fredda";158
"VIA SANT' UGUZZONE N. 26 c/o arte varia; isolato:012; accesso: accesso esterno; (z.d. 2)";VIA ;SANT' UGUZZONE;26;2448;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;blues house;"Elettr.Automatici Meccaniche;BAR CAFFÈ;Tavola fredda";90
"VIA MOROZZO DELLA ROCCA N. 12 int.cinema teatro s.carlo; isolato:144; accesso: accesso esterno; (z.d. 1)";VIA ;MOROZZO DELLA ROCCA;12;6215;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;cinema teatro san carlo;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda";54
"CSO MAGENTA N. 24 dipendenti delle ditte convenz;cso magenta 024; isolato:291; accesso: accesso esterno; (z.d. 1)";CSO ;MAGENTA;24;604;1;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;384
"VIA SAMMARTINI GIOVANNI BATTISTA N. 21 c/o ferrovie dello stato;ingresso via 9401 num.000; accesso: accesso interno; (z.d. 2)";VIA ;SAMMARTINI GIOVANNI BATTISTA;21;1202;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;mensa f.f.s.s.;Mensa;406
"VIA COPERNICO NICOLO' N. 9 c/o istituto salesiano s. ambr; isolato:240; accesso: accesso interno; (z.d. 2)";VIA ;COPERNICO NICOLO';9;1204;2;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.g;ist. sales. sant ambrogio;Mensa;170
"VIA CASTELVETRO LODOVICO num.017/23 dal 4 piano al piano rialzato; isolato:030; (z.d. 8)";VIA ;CASTELVETRO LODOVICO;;7195;8;;;;art.3 comma 6 lett.e;;Mensa;196
"VIA PELLINI EUGENIO N. 1 club privato; isolato:123; accesso: accesso interno; (z.d. 2)";VIA ;PELLINI EUGENIO;1;1482;2;solo somministrazione;somministrazione;misto;club privato;cagliero club;"Tavola fredda;Licenza giochi leciti/elettr..;BAR CAFFÈ;Cibi cotti preconfezionati";592
"CSO VENEZIA N. 51 c/o unione del commercio del t;cso venezia 051; isolato:095; accesso: accesso interno; (z.d. 1)";CSO ;VENEZIA;51;238;1;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;;Mensa;219
VIA PALAZZOLO DON LUIGI N. 21 c/o fondazione don gnocchi (z.d. 8);VIA ;PALAZZOLO DON LUIGI;21;7522;8;;somministrazione;al banco;art.3 comma 6 lett.g;istituto palazzolo;Mensa;195
"VIA RESPIGHI OTTORINO N. 1 mensa interaziendale; isolato:108; (z.d. 1)";VIA ;RESPIGHI OTTORINO;1;3025;1;;;;art.3 comma 6 lett.e;;Mensa;200
"CSO DI PORTA ROMANA N. 63 interno teatro carcano;cso di porta romana 063; isolato:115; accesso: accesso interno; (z.d. 1)";CSO ;DI PORTA ROMANA;63;402;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";11
"VIA GOLA EMILIO N. 12 ; isolato:075; accesso: accesso esterno; (z.d. 6)";VIA ;GOLA EMILIO;12;5154;6;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;nidaba teathre;"BAR CAFFÈ;Sale da ballo, locali notturni;Elettr.Automatici Meccaniche;Tavola fredda;Discoteche,sale ballo notturni";78
"VIA RESEGONE N. 1 argos club privato; isolato:098; accesso: accesso esterno; (z.d. 9)";VIA ;RESEGONE;1;1228;9;solo somministrazione;somministrazione;misto;club privato;circolo priv. argos club;"BAR CAFFÈ;Tavola fredda";110
"VIA BARACCHINI FLAVIO N. 1 (int. night club);via baracchini flavio 001; isolato:422; accesso: accesso esterno; (z.d. 1)";VIA ;BARACCHINI FLAVIO;1;356;1;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;el maroco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Ristorante, trattoria, osteria;Sale da ballo, locali notturni;Ristorante;Discoteche,sale ballo notturni;Disco-piano-americ.bar serali;Genere Merceol.Autorizz.Sanit.";158
"VIA POLA num.012/14 dipendenti delle ditte convenz; (z.d. 2)";;;;;;;;;art.3 comma 6 lett.e;;Mensa;1335
VIA SAND GEORGE N. 17 (z.d. 9);VIA ;SAND GEORGE;17;1554;9;;;;fuori piano;;;
"VIA CARDINALE MEZZOFANTI N. 8 int.assoc.sport.amat.biliardo; isolato:208; (z.d. 4)";VIA ;CARDINALE MEZZOFANTI;8;3277;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;bar/assoc.sport.biliardo;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Elettr.Automatici Meccaniche";85
"codvia 9219 mm2 famago; accesso: accesso interno; (z.d. 6)";;;;;;;somministrazione;al banco;art.3 comma 6 lett.c;autogrill;"Prodotti di gastronomia;BAR CAFFÈ;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda";70
"VIA CRESPI BENIGNO N. 70 c/o vaillant spa; isolato:054; accesso: accesso interno; (z.d. 9)";VIA ;CRESPI BENIGNO;70;1313;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;c/o vaillant spa;Mensa;134
"VIA FRISI PAOLO N. 11 ; isolato:142; accesso: accesso esterno; (z.d. 3)";VIA ;FRISI PAOLO;11;2190;3;solo somministrazione;somministrazione;al banco;club privato;asital club;;
"VIA PIACENZA N. 4 ; isolato:195; accesso: accesso interno; (z.d. 5)";VIA ;PIACENZA;4;4064;5;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;interno palestra get.fit.;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÈ;Tavola fredda";59
"VIA GIOVANNI DA UDINE N. 34 c/o tiempo nord s.p.a.; isolato:192; accesso: accesso interno; (z.d. 8)";VIA ;GIOVANNI DA UDINE;34;7408;8;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;int.tiempo nord spa.;"Bar gastronomici e simili;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda";94
"codvia 9321 mm3 s.dona; isolato:995; accesso: accesso interno; (z.d. 4)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;mm3 san donato;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Prodotti di gastronomia;BAR CAFFÈ";136
"VIA TERRUGGIA GIOVANNI N. 22 ; isolato:064; (z.d. 9)";VIA ;TERRUGGIA GIOVANNI;22;1533;9;;;;art.3 comma 6 lett.g;;Mensa;45
"LARGO BALESTRA ANTONIO N. 5 interno palasport; accesso: accesso esterno; (z.d. 6)";LARGO ;BALESTRA ANTONIO;5;5464;6;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"BAR CAFFÈ;Licenza giochi leciti/elettr..;Prodotti di gastronomia";48
"VIA PIETRASANTA N. 14 ; isolato:002; accesso: accesso esterno; (z.d. 5)";VIA ;PIETRASANTA;14;4227;5;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;magazzini generali;"Discoteche,sale ballo notturni;Sale da ballo, locali notturni;BAR CAFFÈ";678
"VIA BENSI GIOVANNI num.012/11 (primo piano); isolato:086; (z.d. 6)";;;;;;;;;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";98
"VIA GOLGI CAMILLO N. 36 collegio univ. torrescalla; isolato:117; (z.d. 3)";VIA ;GOLGI CAMILLO;36;2220;3;;;;art.3 comma 6 lett.g;;Mensa;125
"VIA LAMARMORA ALFONSO num.015/17 collegio univ. viscontea; (z.d. 1)";VIA ;LAMARMORA ALFONSO;;4103;1;;;;art.3 comma 6 lett.g;;Mensa;105
"VLE UMBRIA N. 42 (interno sala da ballo); isolato:144; accesso: accesso esterno; (z.d. 4)";VLE ;UMBRIA;42;3145;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;cafe l atlantique;"Ristorante;Sale da ballo, locali notturni;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";589
"codvia 1413 ; (z.d. 2)";;;;;;;;;fuori piano;;Spaccio bevande analcoliche;
"VIA ABBIATI FILIPPO N. 7 amici dello scautismo; isolato:253; (z.d. 7)";VIA ;ABBIATI FILIPPO;7;6556;7;;;;club privato;;"BAR CAFFÈ;Tavola fredda";59
"VIA SANT' ERLEMBALDO num.036 c/o istit. i.t.o.s.; (z.d. 2)";VIA ;SANT' ERLEMBALDO;;2356;2;;;;art.3 comma 6 lett.g;;Genere Merceol.Autorizz.Sanit.;40
VIA RISMONDO FRANCESCO N. 77 (z.d. 7);VIA ;RISMONDO FRANCESCO;77;6756;7;;;;fuori piano;;;
"VIA PAPA GREGORIO XIV num.001 c/o scuola;via san vito 003; isolato:332; (z.d. 1)";VIA ;PAPA GREGORIO XIV;;580;1;;;;art.3 comma 6 lett.g;;"BAR CAFFÈ E SIMILI;Spaccio bevande analcoliche;Tavola fredda";36
"VIA VALTELLINA num.005/7 interno scalo ferrov. farini; isolato:106; accesso: accesso interno; (z.d. 9)";VIA ;VALTELLINA;;1188;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar int.scalo fer.farini;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;BAR CAFFÈ E SIMILI";23
"VLE MONZA N. 338 c/o coca cola srl; (z.d. 2)";VLE ;MONZA;338;2274;2;;;;art.3 comma 6 lett.e;;Mensa;194
"VIA PROCACCINI GIULIO CESARE N. 32 circolo al passatempo; isolato:054; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;32;7204;8;;;;art.3 comma 6 lett.e;;"Elettr.Automatici Meccaniche;BAR CAFFÈ";176
"VIA OLGETTINA N. 80 ospiti e personale della comun; isolato:502; (z.d. 3)";VIA ;OLGETTINA;80;2530;3;;;;art.3 comma 6 lett.g;;Mensa;76
"VLE ALEMAGNA EMILIO N. 6 c/o palazzo dell'arte triennal; isolato:078; accesso: accesso interno; (z.d. 1)";VLE ;ALEMAGNA EMILIO;6;7106;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;coffee design triennale m;"Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Bar gastronomici e simili";290
"VIA CASALE N. 7 ; isolato:051; (z.d. 6)";VIA ;CASALE;7;5118;6;;;;art.3 comma 6 lett.d;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola calda;Ristorante, trattoria, osteria;Sale da ballo, locali notturni;Disco-piano-americ.bar serali";164
