Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;superficie_altri_usi;superficie_lavorativa;tipo_eser_pa;;;;;;;
"CSO MAGENTA interno piano rialzato num.083; (z.d. 1)";;;;;;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SANTI FERNANDO N. 8 ; (z.d. 6)";VIA ;SANTI FERNANDO;8;5461;6;;;Parrucchiere misto;;;;;;;
"VIA BUGATTI ETTORE N. 1 ; (z.d. 5)";VIA ;BUGATTI ETTORE;1;4353;5;;;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"CSO SAN GOTTARDO N. 20 ; (z.d. 5)";CSO ;SAN GOTTARDO;20;5203;5;;;"Parrucchiere per signora;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA ROSSI PELLEGRINO N. 59 ; (z.d. 9)";VIA ;ROSSI PELLEGRINO;59;1510;9;;;Parrucchiere per signora;;;;;;;
"VIA BUGATTI ETTORE N. 9 ; (z.d. 5)";VIA ;BUGATTI ETTORE;9;4353;5;;44;"ACCONCIATORE;TIPO A - REG.2003";;;;;;;
"VIA ARISTOTELE N. 39 ; (z.d. 2)";VIA ;ARISTOTELE;39;2488;2;;;Parrucchiere per signora;;;;;;;
"VIA TEODOSIO N. 37 ; (z.d. 3)";VIA ;TEODOSIO;37;2550;3;;;"TIPO A ESTETICA MANUALE;TIPO C TRATT.ESTETICI DIMAGRIM";;;;;;;
"VIA RICCIARELLI DANIELE N. 1 ; (z.d. 7)";VIA ;RICCIARELLI DANIELE;1;6553;7;;;"Parrucchiere per uomo;Parrucchiere per signora";;;;;;;
"VIA PEZZOTTI GIOVANNI N. 19 ; (z.d. 5)";VIA ;PEZZOTTI GIOVANNI;19;5244;5;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SIGIERI GOFFREDO N. 1 ; (z.d. 4)";VIA ;SIGIERI GOFFREDO;1;4080;4;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MONTE CENGIO N. 3 ; (z.d. 4)";VIA ;MONTE CENGIO;3;4366;4;;;ACCONCIATORE;;;;;;;
"VIA DELLE FORZE ARMATE N. 105 ; (z.d. 7)";VIA ;DELLE FORZE ARMATE;105;6643;7;;;Parrucchiere per signora;;;;;;;
"VIA CIAIA IGNAZIO N. 4 ; (z.d. 9)";VIA ;CIAIA IGNAZIO;4;1294;9;;;"TIPO A ESTETICA MANUALE;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO DI PORTA VITTORIA N. 54 ; (z.d. 1)";CSO ;DI PORTA VITTORIA;54;3016;1;;;TIPO A - REG.2003;;;;;;;
"VIA SAN MARTINO N. 14 int. centro olistica salus; (z.d. 1)";VIA ;SAN MARTINO;14;4016;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CODARA GIUSEPPE N. 1 con ingr. v.le gorizia; (z.d. 6)";VIA ;CODARA GIUSEPPE;1;5174;6;;;Parrucchiere per uomo;;;;;;;
"VLE PREMUDA N. 14 con ingr. via archimede; (z.d. 4)";VLE ;PREMUDA;14;3063;4;8;17;"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA DELLE FORZE ARMATE N. 165 ; (z.d. 7)";VIA ;DELLE FORZE ARMATE;165;6643;7;;;Parrucchiere per uomo;;;;;;;
"VIA DELL' UNIONE N. 1 riservata ai soli soci; (z.d. 1)";VIA ;DELL' UNIONE;1;521;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA DE AMICIS EDMONDO N. 7 ; (z.d. 1)";VIA ;DE AMICIS EDMONDO;7;574;1;;;Parrucchiere per signora;;;;;;;
"VIA GROSOTTO N. 5 con ingresso via traiano 74; (z.d. 8)";VIA ;GROSOTTO;5;7328;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO PLEBISCITI N. 1 con ingresso via dei mille; (z.d. 3)";CSO ;PLEBISCITI;1;3120;3;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA LAMARMORA ALFONSO N. 36 ; (z.d. 1)";VIA ;LAMARMORA ALFONSO;36;4103;1;;;ACCONCIATORE;;;;;;;
"VIA SAN GREGORIO N. 11 ; (z.d. 3)";VIA ;SAN GREGORIO;11;2123;3;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA LULLI GIOVANNI N. 32 ; (z.d. 3)";VIA ;LULLI GIOVANNI;32;2253;3;;;ACCONCIATORE;;;;;;;
"VLE BEATRICE D'ESTE N. 7 ; (z.d. 1)";VLE ;BEATRICE D'ESTE;7;4048;1;;40;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 ; (z.d. 6)";VIA ;BERGOGNONE AMBROGIO DA FOSSANO;31;5130;6;;;TIPO A - REG.2003;;;;;;;
"PZA GRANDI GIUSEPPE N. 24 con ingr. c.so xxii marzo; (z.d. 4)";PZA ;GRANDI GIUSEPPE;24;3112;4;;;"Parrucchiere per uomo;Parrucchiere per signora";;;;;;;
"VIA PREVIATI GAETANO N. 21 ; (z.d. 7)";VIA ;PREVIATI GAETANO;21;6384;7;;;Parrucchiere misto;;;;;;;
"VLE ESPINASSE CARLO N. 43 ; (z.d. 8)";VLE ;ESPINASSE CARLO;43;7390;8;;;Parrucchiere misto;;;;;;;
"VIA SENATO N. 13 ; (z.d. 1)";VIA ;SENATO;13;236;1;;;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA GRATOSOGLIO N. 42 ; (z.d. 5)";VIA ;GRATOSOGLIO;42;5411;5;;;Parrucchiere per signora;;;;;;;
"VIA MENOTTI CIRO iø piano num.011c; (z.d. 3)";;;;;;;20;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MECENATE N. 107 ; (z.d. 4)";VIA ;MECENATE;107;3323;4;;44;Parrucchiere per uomo;;;;;;;
"VIA MECENATE N. 107 ; (z.d. 4)";VIA ;MECENATE;107;3323;4;;;"ACCONCIATORE;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA ARONA int. centro comm.le coop num.0155; (z.d. 8)";VIA ;ARONA;;7169;8;;;"ACCONCIATORE;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA FORNI GEROLAMO N. 72 ; (z.d. 9)";VIA ;FORNI GEROLAMO;72;1677;9;;48;Parrucchiere misto;;;;;;;
"VIA TOSI FRANCO N. 14 ; (z.d. 6)";VIA ;TOSI FRANCO;14;5296;6;;;TIPO A - REG.2003;;;;;;;
"VIA SANTA MARIA VALLE N. 1 ; (z.d. 1)";VIA ;SANTA MARIA VALLE;1;535;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
VIA DELLE ANDE N. 5 (z.d. 8);VIA ;DELLE ANDE;5;7496;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PLEZZO N. 16 riservata solo ai soci; (z.d. 3)";VIA ;PLEZZO;16;2653;3;;;TIPO A - REG.2003;;;;;;;
"VIA PRINCIPE EUGENIO N. 30 ; (z.d. 8)";VIA ;PRINCIPE EUGENIO;30;7223;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA OLGETTINA N. 60 ; (z.d. 3)";VIA ;OLGETTINA;60;2530;3;;;Parrucchiere misto;;;;;;;
"VIA VAL MAIRA N. 14 ; (z.d. 9)";VIA ;VAL MAIRA;14;1098;9;;;"Parrucchiere misto;TIPO A - REG.2003";;;;;;;
"VLE TUNISIA N. 41 con ingr. via franchetti 3; (z.d. 2)";VLE ;TUNISIA;41;2121;2;;;Parrucchiere per signora;;;;;;;
"VIA TARTINI GIUSEPPE N. 12 ; (z.d. 9)";VIA ;TARTINI GIUSEPPE;12;1501;9;;;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA MONTI VINCENZO num.057a; (z.d. 1)";;;;;;;44;Parrucchiere per signora;;;;;;;
"VIA TOLSTOI LEONE N. 70 ; (z.d. 6)";VIA ;TOLSTOI LEONE;70;5133;6;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CAGNOLA LUIGI N. 7 ; (z.d. 1)";VIA ;CAGNOLA LUIGI;7;7228;1;;45;Parrucchiere per signora;;;;;;;
"VIA VALPARAISO N. 9 ; (z.d. 6)";VIA ;VALPARAISO;9;6093;6;;;Parrucchiere per signora;;;;;;;
"VIA BUDUA N. 8 con ingresso via veglia; (z.d. 9)";VIA ;BUDUA;8;1342;9;;26;Parrucchiere per signora;;;;;;;
"VLE DELLE RIMEMBRANZE DI GRECO N. 40 ; (z.d. 2)";VLE ;DELLE RIMEMBRANZE DI GRECO;40;1412;2;;;Parrucchiere misto;;;;;;;
"VIA CACCIATORI BENEDETTO N. 1 ; (z.d. 7)";VIA ;CACCIATORI BENEDETTO;1;6305;7;;;Parrucchiere per uomo;;;;;;;
"VIA GIOIA MELCHIORRE N. 123 i piano sub 9; (z.d. 2)";VIA ;GIOIA MELCHIORRE;123;1108;2;;34;TIPO A - REG.2003;;;;;;;
"VIA GRAZIOLI DON BARTOLOMEO N. 10 ; (z.d. 9)";VIA ;GRAZIOLI DON BARTOLOMEO;10;1473;9;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO SEMPIONE N. 75 ; (z.d. 8)";CSO ;SEMPIONE;75;7137;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SIRTORI GIUSEPPE N. 13 ; (z.d. 3)";VIA ;SIRTORI GIUSEPPE;13;2180;3;;;Parrucchiere per signora;;;;;;;
"VLE PASUBIO N. 3 ; (z.d. 1)";VLE ;PASUBIO;3;1112;1;;;Parrucchiere misto;;;;;;;
"VIA GESSI ROMOLO N. 48 con ingresso v.fra' bartolomeo; (z.d. 6)";VIA ;GESSI ROMOLO;48;6121;6;;;"TIPO B CENTRO DI ABBRONZATURA;TIPO A - REG.2003";;;;;;;
"VIA TEODOSIO N. 60 ; (z.d. 3)";VIA ;TEODOSIO;60;2550;3;;91;TIPO A - REG.2003;;;;;;;
"VIA DELLA COMMENDA N. 33 ; (z.d. 1)";VIA ;DELLA COMMENDA;33;3146;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE CERTOSA interno palestra num.021a; (z.d. 8)";VLE ;CERTOSA;;7174;8;;39;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA TORINO N. 64 ; (z.d. 1)";VIA ;TORINO;64;543;1;;60;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
VIA LOPEZ SABATINO N. 3 (z.d. 8);VIA ;LOPEZ SABATINO;3;7369;8;;52;Parrucchiere misto;;;;;;;
"VIA BUSCHI AVERARDO N. 25 ; (z.d. 6)";VIA ;BUSCHI AVERARDO;25;2575;3;;18;Parrucchiere per signora;;;;;;;
"VIA ANFOSSI AUGUSTO N. 44 ; (z.d. 4)";VIA ;ANFOSSI AUGUSTO;44;3071;4;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA VOLTURNO N. 41 ; (z.d. 9)";VIA ;VOLTURNO;41;1135;9;;14;Parrucchiere per signora;;;;;;;
"VIA LOMAZZO PAOLO N. 2 ; (z.d. 1)";VIA ;LOMAZZO PAOLO;2;7079;1;;;Parrucchiere per signora;;;;;;;
"VIA DELLE FORZE ARMATE N. 41 ; (z.d. 7)";VIA ;DELLE FORZE ARMATE;41;6643;7;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CASTALDI PANFILO N. 16 ; (z.d. 3)";VIA ;CASTALDI PANFILO;16;2119;3;;;TIPO A - REG.2003;;;;;;;
"CSO VITTORIO EMANUELE II N. 24 int.centro sportivo; (z.d. 1)";CSO ;VITTORIO EMANUELE II;24;214;1;;31;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA ASELLI GASPARE N. 24 ; (z.d. 3)";VIA ;ASELLI GASPARE;24;3167;3;;;Parrucchiere per uomo;;;;;;;
"VLE MONTE NERO N. 8 ; (z.d. 4)";VLE ;MONTE NERO;8;3062;4;;29;"TIPO A - REG.2003;Centro benessere";;;;;;;
"VIA EDOLO N. 44 ; (z.d. 2)";VIA ;EDOLO;44;1217;2;;;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA VAL TROMPIA N. 43 ; (z.d. 8)";VIA ;VAL TROMPIA;43;7494;8;;;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA AUSONIO N. 16 con ingresso via ariberto; (z.d. 1)";VIA ;AUSONIO;16;5093;1;;;TIPO A - REG.2003;;;;;;;
"VIA CERVA N. 19 ; (z.d. 1)";VIA ;CERVA;19;314;1;;;"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA FRIULI N. 50 ; (z.d. 4)";VIA ;FRIULI;50;3199;4;;;TIPO A - REG.2003;;;;;;;
"VLE REGINA MARGHERITA N. 28 ; (z.d. 1)";VLE ;REGINA MARGHERITA;28;3059;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA SANTA SOFIA N. 24 ; (z.d. 1)";VIA ;SANTA SOFIA;24;408;1;;;TIPO A - REG.2003;;;;;;;
"VIA MAURI ANGELO N. 5 ; (z.d. 7)";VIA ;MAURI ANGELO;5;6296;7;;;TIPO A - REG.2003;;;;;;;
"VIA CARDINALE MEZZOFANTI N. 20 ; (z.d. 4)";VIA ;CARDINALE MEZZOFANTI;20;3277;4;;;TIPO A - REG.2003;;;;;;;
"VIA MARCONA N. 90 ; (z.d. 4)";VIA ;MARCONA;90;3080;4;;;Parrucchiere per uomo;;;;;;;
"VIA FARNETI RODOLFO N. 3 ; (z.d. 3)";VIA ;FARNETI RODOLFO;3;2169;3;;;TIPO A - REG.2003;;;;;;;
"VIA COPERNICO NICOLO' N. 61 ; (z.d. 2)";VIA ;COPERNICO NICOLO';61;1204;2;;;TIPO A - REG.2003;;;;;;;
"VIA MARCO D'AGRATE N. 15 ; (z.d. 5)";VIA ;MARCO D'AGRATE;15;4276;5;;;Parrucchiere per signora;;;;;;;
"VIA GROSSICH ANTONIO N. 17 ; (z.d. 3)";VIA ;GROSSICH ANTONIO;17;2576;3;1;25;Parrucchiere per uomo;;;;;;;
"VLE ZARA N. 9 interno palestra; (z.d. 9)";VLE ;ZARA;9;1170;9;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PIOMBINO N. 1 con ingresso via aldini; (z.d. 8)";VIA ;PIOMBINO;1;7462;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO CONCORDIA N. 6 ; (z.d. 4)";CSO ;CONCORDIA;6;3116;4;;;Parrucchiere misto;;;;;;;
"VLE STELVIO N. 53 ; (z.d. 9)";VLE ;STELVIO;53;1227;9;;87;TIPO A - REG.2003;;;;;;;
"VLE PAPINIANO N. 38 ; (z.d. 1)";VLE ;PAPINIANO;38;5097;1;;42;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MONTI VINCENZO N. 58 c/o com. carabinieri reg.lomba; (z.d. 1)";VIA ;MONTI VINCENZO;58;6155;1;;;ACCONCIATORE;;;;;;;
"VIA GALLARATE N. 80 ; (z.d. 8)";VIA ;GALLARATE;80;7420;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CREMA N. 25 ; (z.d. 5)";VIA ;CREMA;25;4061;5;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA WASHINGTON GIORGIO N. 72 piano interrato; (z.d. 7)";VIA ;WASHINGTON GIORGIO;72;6111;7;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE VITTORIO VENETO N. 10 ; (z.d. 3)";VLE ;VITTORIO VENETO;10;2107;3;;33;"Parrucchiere per uomo;Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA FABRIANO N. 2 ; (z.d. 9)";VIA ;FABRIANO;2;1642;9;;;"TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM";;;;;;;
"VLE CERTOSA N. 121 ; (z.d. 8)";VLE ;CERTOSA;121;7174;8;;35;ACCONCIATORE;;;;;;;
"VIA GROSSI TOMMASO N. 1 int. park hyatt hotel; (z.d. 1)";VIA ;GROSSI TOMMASO;1;105;1;;36;"TIPO A - REG.2003;Centro benessere";;;;;;;
"VIA DEL LIRI N. 3 ; (z.d. 4)";VIA ;DEL LIRI;3;3370;4;;26;Parrucchiere per signora;;;;;;;
"VIA COMPAGNONI GIUSEPPE N. 33 ; (z.d. 4)";VIA ;COMPAGNONI GIUSEPPE;33;3096;4;;;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 214 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;214;4066;5;;50;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE CORSICA N. 7 ; (z.d. 4)";VLE ;CORSICA;7;3262;4;;33;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA PRINCIPE EUGENIO N. 25 ; (z.d. 8)";VIA ;PRINCIPE EUGENIO;25;7223;8;;;TIPO A - REG.2003;;;;;;;
"VIA MASACCIO N. 19 interno grand hotel; (z.d. 8)";VIA ;MASACCIO;19;6420;8;;52;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA RESSI ADEODATO N. 23 ; (z.d. 2)";VIA ;RESSI ADEODATO;23;1397;2;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA GIAMBELLINO N. 5 4 piano interno palestra; (z.d. 6)";VIA ;GIAMBELLINO;5;5136;6;;66;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PERINI CARLO N. 19 ; (z.d. 8)";VIA ;PERINI CARLO;19;7326;8;;;"ACCONCIATORE;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"PZA DE ANGELI ERNESTO N. 1 con ingresso in galleria; (z.d. 7)";PZA ;DE ANGELI ERNESTO;1;6276;7;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CASATI FELICE N. 35 ; (z.d. 2)";VIA ;CASATI FELICE;35;2122;2;;42;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
VIA MESTRE N. 7 (z.d. 3);VIA ;MESTRE;7;2647;3;;50;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO BUENOS AIRES N. 75 3ø piano; (z.d. 3)";CSO ;BUENOS AIRES;75;2129;3;;;TIPO A - REG.2003;;;;;;;
"VIA PADOVA N. 133 ; (z.d. 2)";VIA ;PADOVA;133;2275;2;;42;TIPO A - REG.2003;;;;;;;
"VIA DEI GRIMANI N. 1 ; (z.d. 6)";VIA ;DEI GRIMANI;1;6097;6;;;Parrucchiere per signora;;;;;;;
"VIA TERRUGGIA GIOVANNI N. 1 ; (z.d. 9)";VIA ;TERRUGGIA GIOVANNI;1;1533;9;;;ACCONCIATORE;;;;;;;
"VIA ARENA N. 35 con ingr. via g.d'annunzio 23; (z.d. 1)";VIA ;ARENA;35;5182;1;;;Parrucchiere per signora;;;;;;;
"VIA PELIZZA DA VOLPEDO N. 26 con ingr. via mose' bianchi 52; (z.d. 7)";VIA ;PELIZZA DA VOLPEDO;26;6391;7;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MINCIO N. 3 ; (z.d. 4)";VIA ;MINCIO;3;4157;4;;;Parrucchiere per uomo;;;;;;;
"VIA PARENZO N. 6 ; (z.d. 6)";VIA ;PARENZO;6;5367;6;;;Parrucchiere per signora;;;;;;;
"VIA SENATO N. 15 ; (z.d. 1)";VIA ;SENATO;15;236;1;;;TIPO A - REG.2003;;;;;;;
"VIA PROCACCINI GIULIO CESARE N. 27 ; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;27;7204;8;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"PZA CHIARADIA ENRICO N. 12 con ingresso via antonini 66; (z.d. 5)";PZA ;CHIARADIA ENRICO;12;4252;5;;;Parrucchiere per signora;;;;;;;
"VIA DURAZZO N. 5 ; (z.d. 3)";VIA ;DURAZZO;5;2658;3;;;Parrucchiere misto;;;;;;;
"VIA PASTRENGO N. 1 ; (z.d. 9)";VIA ;PASTRENGO;1;1127;9;;;Parrucchiere misto;;;;;;;
"CSO ITALIA N. 43 con ingresso via lusardi; (z.d. 1)";CSO ;ITALIA;43;526;1;;;TIPO A - REG.2003;;;;;;;
"VIA ROSSI PELLEGRINO N. 22 ; (z.d. 9)";VIA ;ROSSI PELLEGRINO;22;1510;9;;;Parrucchiere per signora;;;;;;;
"VIA OSOPPO N. 13 ; (z.d. 7)";VIA ;OSOPPO;13;6596;7;;;TIPO A - REG.2003;;;;;;;
"VLE ROMAGNA N. 12 ; (z.d. 3)";VLE ;ROMAGNA;12;3102;3;;52;Parrucchiere misto;;;;;;;
"VIA MENOTTI CIRO num.0313; (z.d. 3)";;;;;;;;TIPO A - REG.2003;;;;;;;
"VIA PIRANESI GIOVANNI BATTISTA N. 9 ; (z.d. 4)";VIA ;PIRANESI GIOVANNI BATTISTA;9;3263;4;;65;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA PIACENZA N. 4 ; (z.d. 5)";VIA ;PIACENZA;4;4064;5;;69;TIPO B CENTRO DI ABBRONZATURA;;;;;;;
"VIA RUBENS PIETRO N. 19 ; (z.d. 7)";VIA ;RUBENS PIETRO;19;6597;7;;;TIPO A - REG.2003;;;;;;;
"PZA DE ANGELI ERNESTO N. 3 con ingr. galleria de angeli; (z.d. 7)";PZA ;DE ANGELI ERNESTO;3;6276;7;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA ZANELLA GIACOMO N. 27 ; (z.d. 4)";VIA ;ZANELLA GIACOMO;27;3257;4;;;Parrucchiere misto;;;;;;;
"VIA VAL DI BONDO N. 2 ; (z.d. 9)";VIA ;VAL DI BONDO;2;1648;9;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CAVEZZALI FRANCESCO N. 11 con ingr. via marinetti n. 1; (z.d. 2)";VIA ;CAVEZZALI FRANCESCO;11;2335;2;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA LOMBARDINI ELIA N. 4 ; (z.d. 6)";VIA ;LOMBARDINI ELIA;4;5146;6;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA F.LLI GABBA interno albergo num.007b; (z.d. 1)";;;;;;;;TIPO A - REG.2003;;;;;;;
"PZA VELASCA N. 6 ; (z.d. 1)";PZA ;VELASCA;6;335;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"CSO SAN GOTTARDO N. 5 ; (z.d. 5)";CSO ;SAN GOTTARDO;5;5203;5;;;"ACCONCIATORE;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA NOVARO MICHELE N. 25 con ingresso via taccioli; (z.d. 9)";VIA ;NOVARO MICHELE;25;1559;9;;;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA CESARE DA SESTO N. 22 ; (z.d. 1)";VIA ;CESARE DA SESTO;22;5101;1;;;"Parrucchiere per uomo;TIPO A-B-C-D";;;;;;;
"BST DI PORTA VOLTA N. 5 ; (z.d. 1)";BST ;DI PORTA VOLTA;5;1066;1;;;TIPO A - REG.2003;;;;;;;
"VIA PASCARELLA CESARE N. 1 ; (z.d. 8)";VIA ;PASCARELLA CESARE;1;7349;8;;;Parrucchiere per uomo;;;;;;;
"CSO INDIPENDENZA N. 6 ; (z.d. 4)";CSO ;INDIPENDENZA;6;3118;4;;;Parrucchiere per signora;;;;;;;
"VLE TIBALDI N. 66 ; (z.d. 5)";VLE ;TIBALDI;66;5234;5;;;Parrucchiere per uomo;;;;;;;
"VIA MAIOCCHI ACHILLE N. 31 ; (z.d. 3)";VIA ;MAIOCCHI ACHILLE;31;2162;3;;16;Parrucchiere per signora;;;;;;;
"VIA PASSARELLA N. 4 ; (z.d. 1)";VIA ;PASSARELLA;4;298;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CORREGGIO N. 57 ; (z.d. 7)";VIA ;CORREGGIO;57;6287;7;;;Parrucchiere per signora;;;;;;;
"VIA SAVONA N. 20 ; (z.d. 6)";VIA ;SAVONA;20;5122;6;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA CIRCO N. 1 interno palestra; (z.d. 1)";VIA ;CIRCO;1;557;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE MONZA N. 259 c/o centro comm.le sma; (z.d. 2)";VLE ;MONZA;259;2274;2;;;ACCONCIATORE;;;;;;;
"VIA COMPAGNONI GIUSEPPE N. 24 ; (z.d. 4)";VIA ;COMPAGNONI GIUSEPPE;24;3096;4;;;TIPO A - REG.2003;;;;;;;
"VLE D'ANNUNZIO GABRIELE N. 3 ; (z.d. 1)";VLE ;D'ANNUNZIO GABRIELE;3;5170;1;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PONTE NUOVO N. 5 ; (z.d. 2)";VIA ;PONTE NUOVO;5;2494;2;;;"Parrucchiere per signora;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA LODOVICO IL MORO N. 93 ; (z.d. 6)";VIA ;LODOVICO IL MORO;93;5290;6;;;Parrucchiere per signora;;;;;;;
"VIA ORSINI VINCENZO GIORDANO N. 2 ; (z.d. 7)";VIA ;ORSINI VINCENZO GIORDANO;2;6648;7;;40;Acconciatore;;;;;;;
"VIA FOPPA VINCENZO N. 40 ; (z.d. 7)";VIA ;FOPPA VINCENZO;40;6109;7;;;Parrucchiere per signora;;;;;;;
"VLE DELL' INNOVAZIONE N. 13 ; (z.d. 9)";VLE ;DELL' INNOVAZIONE;13;1731;9;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MARCELLO BENEDETTO N. 77 ; (z.d. 3)";VIA ;MARCELLO BENEDETTO;77;2128;3;;;TIPO A - REG.2003;;;;;;;
"VIA MAMBRETTI ANTONIO N. 25 ; (z.d. 8)";VIA ;MAMBRETTI ANTONIO;25;7455;8;;;TIPO A - REG.2003;;;;;;;
"VIA PALMIERI NICOLA N. 30 ; (z.d. 5)";VIA ;PALMIERI NICOLA;30;5323;5;;;Parrucchiere per signora;;;;;;;
